+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                              ;
+----------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                          ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; MEMCODE|MB0|altsyncram_component|auto_generated                                                                                                    ; 53    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMCODE|MB0                                                                                                                                        ; 53    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMCODE                                                                                                                                            ; 72    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMDATA|MB0|altsyncram_component|auto_generated|altsyncram1|mux7                                                                                   ; 130   ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMDATA|MB0|altsyncram_component|auto_generated|altsyncram1|mux6                                                                                   ; 130   ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMDATA|MB0|altsyncram_component|auto_generated|altsyncram1|rden_decode_b                                                                          ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMDATA|MB0|altsyncram_component|auto_generated|altsyncram1|rden_decode_a                                                                          ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMDATA|MB0|altsyncram_component|auto_generated|altsyncram1|decode5                                                                                ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMDATA|MB0|altsyncram_component|auto_generated|altsyncram1|decode4                                                                                ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMDATA|MB0|altsyncram_component|auto_generated|altsyncram1                                                                                        ; 103   ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMDATA|MB0|altsyncram_component|auto_generated                                                                                                    ; 54    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMDATA|MB0                                                                                                                                        ; 54    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MEMDATA                                                                                                                                            ; 72    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|BC0                                                                                                                                 ; 67    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|MEMLOAD0                                                                                                                            ; 37    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|MEMSTORE0                                                                                                                           ; 37    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|fmin_s1|fmin_s_inst                                                                                                          ; 66    ; 0              ; 2            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|fmin_s1                                                                                                                      ; 66    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|fmax_s1|fmax_s_inst                                                                                                          ; 66    ; 0              ; 2            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|fmax_s1                                                                                                                      ; 66    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_wu_s1|cvt_wu_s_inst|expXIsMax_uid12_fpToFxPTest_delay                                                                    ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_wu_s1|cvt_wu_s_inst|fracXIsZero_uid13_fpToFxPTest_delay                                                                  ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_wu_s1|cvt_wu_s_inst|redist1_signX_uid25_fpToFxPTest_b_1                                                                  ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_wu_s1|cvt_wu_s_inst|redist0_rightShiftStageSel5Dto4_uid62_rightShiferNoStickyOut_uid39_fpToFxPTest_merged_bit_select_d_1 ; 5     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_wu_s1|cvt_wu_s_inst                                                                                                      ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_wu_s1                                                                                                                    ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_s_wu1|cvt_s_wu_inst|inIsZero_uid8_fxpToFPTest_delay                                                                      ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_s_wu1|cvt_s_wu_inst|redist5_expFracRnd_uid12_fxpToFPTest_q_1                                                             ; 36    ; 1              ; 0            ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_s_wu1|cvt_s_wu_inst|rnd_uid18_fxpToFPTest_delay                                                                          ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_s_wu1|cvt_s_wu_inst|redist0_vCount_uid66_lzcShifterZ1_uid6_fxpToFPTest_q_1                                               ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_s_wu1|cvt_s_wu_inst|redist1_vCount_uid59_lzcShifterZ1_uid6_fxpToFPTest_q_1                                               ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_s_wu1|cvt_s_wu_inst|redist2_vCount_uid52_lzcShifterZ1_uid6_fxpToFPTest_q_1                                               ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_s_wu1|cvt_s_wu_inst|redist3_vCount_uid45_lzcShifterZ1_uid6_fxpToFPTest_q_2                                               ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_s_wu1|cvt_s_wu_inst|redist4_vCount_uid40_lzcShifterZ1_uid6_fxpToFPTest_q_2                                               ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_s_wu1|cvt_s_wu_inst                                                                                                      ; 34    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_s_wu1                                                                                                                    ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_w_s1|cvt_w_s_inst|redist4_expXIsMax_uid12_fpToFxPTest_q_2                                                                ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_w_s1|cvt_w_s_inst|expXIsMax_uid12_fpToFxPTest_delay                                                                      ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_w_s1|cvt_w_s_inst|fracXIsZero_uid13_fpToFxPTest_delay                                                                    ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_w_s1|cvt_w_s_inst|redist1_ovfExpRange_uid27_fpToFxPTest_n_2                                                              ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_w_s1|cvt_w_s_inst|redist0_udf_uid29_fpToFxPTest_n_2                                                                      ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_w_s1|cvt_w_s_inst|redist3_signX_uid25_fpToFxPTest_b_2                                                                    ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CPU0|DATAPATH0|FPALU0|cvt_w_s1|cvt_w_s_inst|redist5_frac_x_uid10_fpToFxPTest_b_1                                                                   ; 26    ; 1              ; 0            ; 1              ; 23     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
